group,variable,value
KZ, 2001, 10.4
AKM, 2001, 10.8
AKT, 2001, 11.4
ALM, 2001, 10.2
ATY, 2001, 13.5
ZAP, 2001, 12.5
ZHA, 2001, 12.7
KAR, 2001, 9.2
KUS, 2001, 10.3
KZY, 2001, 13.9
MAN, 2001, 10.5
YUZ, 2001, 11.5
PAV, 2001, 9.2
SEV, 2001, 8.9
VOS, 2001, 7.3
CIT, 2001, 11.5
NQZ, 2001, 9.3
ALA, 2001, 10.8
KZ, 2002, 9.3
AKM, 2002, 9.2
AKT, 2002, 10.2
ALM, 2002, 9.2
ATY, 2002, 10.7
ZAP, 2002, 10
ZHA, 2002, 12.3
KAR, 2002, 8.3
KUS, 2002, 9.3
KZY, 2002, 12.5
MAN, 2002, 9.8
YUZ, 2002, 9.4
PAV, 2002, 8.7
SEV, 2002, 8
VOS, 2002, 7.3
CIT, 2002, 9.4
NQZ, 2002, 8.7
ALA, 2002, 9.6
KZ, 2003, 8.8
AKM, 2003, 9.2
AKT, 2003, 9.7
ALM, 2003, 8.6
ATY, 2003, 9.5
ZAP, 2003, 9.3
ZHA, 2003, 11.1
KAR, 2003, 7.5
KUS, 2003, 8.7
KZY, 2003, 11.4
MAN, 2003, 9.7
YUZ, 2003, 8.6
PAV, 2003, 8.2
SEV, 2003, 8
VOS, 2003, 7.3
CIT, 2003, 8.6
NQZ, 2003, 8.4
ALA, 2003, 8.9
KZ, 2004, 8.4
AKM, 2004, 9.2
AKT, 2004, 9.4
ALM, 2004, 7.8
ATY, 2004, 9.3
ZAP, 2004, 9.2
ZHA, 2004, 10.2
KAR, 2004, 7.4
KUS, 2004, 8.5
KZY, 2004, 10.2
MAN, 2004, 9.8
YUZ, 2004, 7.8
PAV, 2004, 7.7
SEV, 2004, 8.1
VOS, 2004, 7.2
CIT, 2004, 7.8
NQZ, 2004, 8.3
ALA, 2004, 8.8
KZ, 2005, 8.1
AKM, 2005, 8.9
AKT, 2005, 9.2
ALM, 2005, 7.3
ATY, 2005, 9.1
ZAP, 2005, 9
ZHA, 2005, 9.8
KAR, 2005, 7
KUS, 2005, 8.2
KZY, 2005, 9.7
MAN, 2005, 9.7
YUZ, 2005, 7.5
PAV, 2005, 7.6
SEV, 2005, 7.9
VOS, 2005, 7.1
CIT, 2005, 7.5
NQZ, 2005, 8.2
ALA, 2005, 8.4
KZ, 2006, 7.8
AKM, 2006, 8.6
AKT, 2006, 8.5
ALM, 2006, 7.1
ATY, 2006, 8.4
ZAP, 2006, 8.6
ZHA, 2006, 9.2
KAR, 2006, 6.9
KUS, 2006, 7.8
KZY, 2006, 9.3
MAN, 2006, 9.3
YUZ, 2006, 7.2
PAV, 2006, 7.4
SEV, 2006, 7.2
VOS, 2006, 6.9
CIT, 2006, 7.2
NQZ, 2006, 8
ALA, 2006, 8.2
KZ, 2007, 7.3
AKM, 2007, 8
AKT, 2007, 7.4
ALM, 2007, 6.7
ATY, 2007, 7.4
ZAP, 2007, 7.8
ZHA, 2007, 7.7
KAR, 2007, 6.7
KUS, 2007, 7.5
KZY, 2007, 8.2
MAN, 2007, 8.5
YUZ, 2007, 6.9
PAV, 2007, 6.9
SEV, 2007, 6.9
VOS, 2007, 6.6
CIT, 2007, 6.9
NQZ, 2007, 7.6
ALA, 2007, 7.8
KZ, 2008, 6.6
AKM, 2008, 7.1
AKT, 2008, 6.4
ALM, 2008, 6.4
ATY, 2008, 6.3
ZAP, 2008, 7.1
ZHA, 2008, 6.5
KAR, 2008, 6.2
KUS, 2008, 6.9
KZY, 2008, 6.9
MAN, 2008, 6.9
YUZ, 2008, 6.6
PAV, 2008, 6.4
SEV, 2008, 6.3
VOS, 2008, 6.4
CIT, 2008, 6.6
NQZ, 2008, 6.6
ALA, 2008, 7.4
